[WARNING][2019-07-30 15:44:17,550][log.py:228]Not Found: /favicon.ico
[ERROR][2019-08-01 09:03:25,032][views.py:783]123
[WARNING][2019-08-01 09:03:32,649][log.py:228]Not Found: /system_manager/execl.html/
[ERROR][2019-08-01 09:03:39,902][views.py:783]123
[ERROR][2019-08-01 09:03:40,471][views.py:783]123
[ERROR][2019-08-01 09:03:40,800][views.py:783]123
[ERROR][2019-08-01 09:03:41,129][views.py:783]123
[ERROR][2019-08-01 09:03:41,456][views.py:783]123
[ERROR][2019-08-01 09:03:41,834][views.py:783]123
[ERROR][2019-08-01 09:03:42,159][views.py:783]123
[ERROR][2019-08-01 09:03:42,490][views.py:783]123
[ERROR][2019-08-01 09:03:42,818][views.py:783]123
[ERROR][2019-08-01 09:03:43,145][views.py:783]123
[ERROR][2019-08-01 09:03:43,322][views.py:783]123
[ERROR][2019-08-01 09:03:43,673][views.py:783]123
[ERROR][2019-08-01 09:03:43,994][views.py:783]123
[ERROR][2019-08-01 09:03:44,341][views.py:783]123
[ERROR][2019-08-01 09:03:44,680][views.py:783]123
[ERROR][2019-08-01 09:03:45,000][views.py:783]123
[ERROR][2019-08-01 09:03:45,322][views.py:783]123
[ERROR][2019-08-01 09:03:45,653][views.py:783]123
[ERROR][2019-08-01 09:03:45,984][views.py:783]123
[ERROR][2019-08-01 09:03:46,306][views.py:783]123
[ERROR][2019-08-01 09:03:50,111][views.py:783]123
[ERROR][2019-08-01 09:03:50,705][views.py:783]123
[ERROR][2019-08-01 09:03:51,032][views.py:783]123
[ERROR][2019-08-01 09:03:51,352][views.py:783]123
[ERROR][2019-08-01 09:04:00,192][views.py:783]123
[ERROR][2019-08-01 09:04:00,219][views.py:783]123
[ERROR][2019-08-01 09:04:00,541][views.py:783]123
[ERROR][2019-08-01 09:04:00,796][views.py:783]123
[ERROR][2019-08-01 09:04:00,880][views.py:783]123
[ERROR][2019-08-01 09:04:01,116][views.py:783]123
[ERROR][2019-08-01 09:04:01,199][views.py:783]123
[ERROR][2019-08-01 09:04:01,446][views.py:783]123
[ERROR][2019-08-01 09:04:01,530][views.py:783]123
[ERROR][2019-08-01 09:04:01,777][views.py:783]123
[ERROR][2019-08-01 09:04:02,001][views.py:783]123
[ERROR][2019-08-01 09:04:02,605][views.py:783]123
[ERROR][2019-08-01 09:04:02,986][views.py:783]123
[ERROR][2019-08-01 09:04:03,558][views.py:783]123
[ERROR][2019-08-01 09:04:03,899][views.py:783]123
[ERROR][2019-08-01 09:04:04,229][views.py:783]123
[ERROR][2019-08-01 09:04:04,554][views.py:783]123
[ERROR][2019-08-01 09:04:31,095][views.py:783]123
[ERROR][2019-08-01 09:04:31,339][views.py:783]123
[ERROR][2019-08-01 09:04:31,921][views.py:783]123
[ERROR][2019-08-01 09:04:32,252][views.py:783]123
[ERROR][2019-08-01 09:04:32,576][views.py:783]123
[ERROR][2019-08-01 09:04:32,905][views.py:783]123
[ERROR][2019-08-01 09:04:33,230][views.py:783]123
[ERROR][2019-08-01 09:04:33,566][views.py:783]123
[ERROR][2019-08-01 09:04:33,895][views.py:783]123
[ERROR][2019-08-01 09:04:34,225][views.py:783]123
[ERROR][2019-08-01 09:05:04,716][views.py:783]123
[ERROR][2019-08-01 09:05:04,950][views.py:783]123
[ERROR][2019-08-01 09:05:05,537][views.py:783]123
[ERROR][2019-08-01 09:05:05,858][views.py:783]123
[ERROR][2019-08-01 09:05:06,196][views.py:783]123
[ERROR][2019-08-01 09:05:06,532][views.py:783]123
[ERROR][2019-08-01 09:05:06,861][views.py:783]123
[ERROR][2019-08-01 09:05:07,192][views.py:783]123
[ERROR][2019-08-01 09:05:07,538][views.py:783]123
[ERROR][2019-08-01 09:05:07,892][views.py:783]123
[ERROR][2019-08-01 09:06:08,336][views.py:783]123
[ERROR][2019-08-01 09:06:08,656][views.py:783]123
[ERROR][2019-08-01 09:06:09,259][views.py:783]123
[ERROR][2019-08-01 09:06:09,593][views.py:783]123
[ERROR][2019-08-01 09:06:09,929][views.py:783]123
[ERROR][2019-08-01 09:06:10,283][views.py:783]123
[ERROR][2019-08-01 09:06:10,628][views.py:783]123
[ERROR][2019-08-01 09:06:11,013][views.py:783]123
[ERROR][2019-08-01 09:06:11,347][views.py:783]123
[ERROR][2019-08-01 09:06:11,674][views.py:783]123
[WARNING][2019-08-01 09:06:54,729][log.py:228]Not Found: /system_manager/execl.html/
[ERROR][2019-08-01 09:07:00,470][views.py:783]123
[ERROR][2019-08-01 09:07:00,498][views.py:783]123
[ERROR][2019-08-01 09:07:00,535][views.py:783]123
[ERROR][2019-08-01 09:07:00,568][views.py:783]123
[ERROR][2019-08-01 09:07:00,612][views.py:783]123
[ERROR][2019-08-01 09:07:00,659][views.py:783]123
[ERROR][2019-08-01 09:07:00,706][views.py:783]123
[ERROR][2019-08-01 09:07:00,750][views.py:783]123
[ERROR][2019-08-01 09:07:00,795][views.py:783]123
[ERROR][2019-08-01 09:07:00,829][views.py:783]123
[WARNING][2019-08-01 09:08:56,113][log.py:228]Not Found: /system_manager/execl.html/
[ERROR][2019-08-01 09:09:03,333][views.py:783]123
[ERROR][2019-08-01 09:09:03,372][views.py:783]123
[ERROR][2019-08-01 09:09:03,403][views.py:783]123
[ERROR][2019-08-01 09:09:03,449][views.py:783]123
[ERROR][2019-08-01 09:09:03,484][views.py:783]123
[ERROR][2019-08-01 09:09:03,526][views.py:783]123
[ERROR][2019-08-01 09:09:03,575][views.py:783]123
[ERROR][2019-08-01 09:09:03,615][views.py:783]123
[ERROR][2019-08-01 09:09:03,664][views.py:783]123
[ERROR][2019-08-01 09:09:03,713][views.py:783]123
[ERROR][2019-08-01 09:09:39,726][views.py:783]123
[ERROR][2019-08-01 09:09:39,758][views.py:783]123
[ERROR][2019-08-01 09:09:39,790][views.py:783]123
[ERROR][2019-08-01 09:09:39,827][views.py:783]123
[ERROR][2019-08-01 09:09:39,864][views.py:783]123
[ERROR][2019-08-01 09:09:39,898][views.py:783]123
[ERROR][2019-08-01 09:09:39,928][views.py:783]123
[ERROR][2019-08-01 09:09:39,972][views.py:783]123
[ERROR][2019-08-01 09:09:39,999][views.py:783]123
[ERROR][2019-08-01 09:09:40,035][views.py:783]123
[ERROR][2019-08-01 09:10:24,489][views.py:783]123
[ERROR][2019-08-01 09:10:24,534][views.py:783]123
[ERROR][2019-08-01 09:10:24,576][views.py:783]123
[ERROR][2019-08-01 09:10:24,618][views.py:783]123
[ERROR][2019-08-01 09:10:24,653][views.py:783]123
[ERROR][2019-08-01 09:10:24,703][views.py:783]123
[ERROR][2019-08-01 09:10:24,736][views.py:783]123
[ERROR][2019-08-01 09:10:24,766][views.py:783]123
[ERROR][2019-08-01 09:10:24,812][views.py:783]123
[ERROR][2019-08-01 09:10:24,848][views.py:783]123
[ERROR][2019-08-01 09:10:24,889][views.py:783]123
[ERROR][2019-08-01 09:11:05,787][views.py:783]123
[ERROR][2019-08-01 09:11:05,825][views.py:783]123
[ERROR][2019-08-01 09:11:05,859][views.py:783]123
[ERROR][2019-08-01 09:11:05,895][views.py:783]123
[ERROR][2019-08-01 09:11:05,937][views.py:783]123
[ERROR][2019-08-01 09:11:05,984][views.py:783]123
[ERROR][2019-08-01 09:11:06,033][views.py:783]123
[ERROR][2019-08-01 09:11:06,091][views.py:783]123
[ERROR][2019-08-01 09:11:06,127][views.py:783]123
[ERROR][2019-08-01 09:11:06,170][views.py:783]123
[ERROR][2019-08-01 09:11:06,202][views.py:783]123
[WARNING][2019-08-01 09:52:50,889][log.py:228]Not Found: /asserts_manage/info_list.html/3
[ERROR][2019-08-01 10:01:44,524][log.py:228]Internal Server Error: /system_manager/history.html/192.168.0.155/
Traceback (most recent call last):
  File "C:\Program Files\Python37\lib\site-packages\django\core\handlers\exception.py", line 34, in inner
    response = get_response(request)
  File "C:\Program Files\Python37\lib\site-packages\django\core\handlers\base.py", line 126, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "C:\Program Files\Python37\lib\site-packages\django\core\handlers\base.py", line 124, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "D:\DDIT\System\Views\views.py", line 754, in vm_history
    return render(request,'host_status_history.html',menu_list(request))
  File "C:\Program Files\Python37\lib\site-packages\django\shortcuts.py", line 36, in render
    content = loader.render_to_string(template_name, context, request, using=using)
  File "C:\Program Files\Python37\lib\site-packages\django\template\loader.py", line 62, in render_to_string
    return template.render(context, request)
  File "C:\Program Files\Python37\lib\site-packages\django\template\backends\django.py", line 59, in render
    context = make_context(context, request, autoescape=self.backend.engine.autoescape)
  File "C:\Program Files\Python37\lib\site-packages\django\template\context.py", line 270, in make_context
    raise TypeError('context must be a dict rather than %s.' % context.__class__.__name__)
TypeError: context must be a dict rather than HttpResponse.
